DomainOr,Domain,Tech Spend USD,Sales Revenue USD,Social,Employees,Company,Vertical,Tranco,Page Rank,Majestic,Umbrella,Telephones,Emails,Twitter,Facebook,LinkedIn,Google,Pinterest,GitHub,Instagram,Vk,Vimeo,Youtube,TikTok,People,City,State,Zip,Country,First Detected,Last Found,First Indexed,Last Indexed,Exclusion,Compliance
1001tracklists.com,merch.1001tracklists.com,$500,$154813,500000,0,1001Tracklists,Art And Entertainment,22906,609433,55755,94806,ph:+44-1320-210709,info@1001tracklists.com,twitter.com/1001tracklists,facebook.com/1001tracklists,,,,,instagram.com/1001tracklists,,,,,,Sheffield,SYORK,S3,GB,21/12/2021,21/02/2023,03/10/2011,24/02/2023,-,GDPR United Kingdom
bigshoes.com,bigshoes.com,$2000,$247229,1000,1,BigShoes,Style And Fashion,56118,12454997,522683,Outside Top 1m,ph:+1-512-391-9014;+1-800-475-6008,info@bigshoes.com;help@bigshoes.com;sales@bigshoes.com;contact@bigshoes.com,twitter.com/bigshoes,facebook.com/shopbigshoes,,,,,instagram.com/4bigshoes,,,,,N/A - Other - n/a@bigshoes.com; N/A - Director - n/a@bigshoes.com,,KS,66337,US,05/10/2017,17/02/2023,01/03/2000,21/02/2023,-,GDPR United Kingdom
bit-tech.net,store.bit-tech.net,$100,$30391,0,0,bit-tech,Technology And Computing,61432,13828,11984,Outside Top 1m,ph:,editor@bit-tech.net;webmaster@bit-tech.net;hello@bit-tech.net,twitter.com/bittech,facebook.com/bittech,,,,,,,,,,,,,,,20/05/2020,25/01/2023,27/11/2001,17/02/2023,-,GDPR United Kingdom
bl.uk,shop.bl.uk;prints.bl.uk,$2000,$21211730,2000,0,National Life Stories,Art And Entertainment,8608,574,1706,24667,ph:,,twitter.com/BL_Ref_Services,,,,,,,,,,,N/A - Founder - n/a@bl.uk,Greater London,UK,NW1,GB,05/08/2018,20/02/2023,29/01/2003,01/03/2023,-,GDPR United Kingdom
bodyboss.com,bodyboss.com,$2000,$196267,400000,0,BodyBoss CA,Health And Fitness,81196,1768692,Outside Top 1m,Outside Top 1m,ph:,hello@bodyboss.com,twitter.com/bodybossmethod,facebook.com/bodybossmethod,,,pinterest.com/bodybossmethod,,instagram.com/bodybossmethod,,,,,,London,LND,SW1Y,GB,09/04/2020,21/02/2023,17/11/2012,26/02/2023,-,GDPR United Kingdom
boilerroom.tv,checkout.boilerroom.tv,$1000,$221701,1000000,100,BOILER ROOM,Art And Entertainment,122216,413178,42199,Outside Top 1m,ph:,contact@boilerroom.tv;support@boilerroom.tv,twitter.com/boilerroomtv,facebook.com/boilerroom.tv,,,,,instagram.com/boilerroomtv,,,,,,London,LND,W1W,GB,02/11/2018,25/01/2023,19/01/2011,01/03/2023,-,GDPR United Kingdom
brastop.com,brastop.com,$2000,$361437,50000,10,Brastop Limited,Style And Fashion,35027,843627,283777,Outside Top 1m,ph:+1-208-861-1945;+44-208-8611945,support@brastop.com,twitter.com/brastop,facebook.com/brastop,,,pinterest.com/brastop,,instagram.com/brastop,,,youtube.com/user/brastopshop,,,Uxbridge,ENG,UB8,GB,02/10/2020,01/03/2023,09/10/2003,01/03/2023,-,GDPR United Kingdom
breastcancercare.org.uk,shop.breastcancercare.org.uk;breastcancercare.org.uk/*;forum.breastcancercare.org.uk,$1000,$13416,250,0,,Health And Fitness,157332,440208,63889,Outside Top 1m,ph:+44-808-8006000;+44-292-0234073;+44-34-50920817;+44-34-50771893;+44-30-01004442;+44-34-50920838;+44-808-8020133;+44-34-50920800,info@breastcancercare.org.uk,,facebook.com/breastcancercare,,,,,instagram.com/breast_cancer_care,,,youtube.com/user/breastcancercare,,N/A - Marketing - n/a@breastcancercare.org.uk; N/A - Manager - n/a@breastcancercare.org.uk,Glasgow,GLAS,G2,GB,09/12/2016,20/02/2023,01/01/2006,01/03/2023,-,GDPR United Kingdom
burberry.com,employeestore.burberry.com;me.employeestore.burberry.com,$5000,$584990,10000000,10000,Burberry,Shopping,6620,398364,4833,16938,ph:+1-203-402-1444;+1-810-800-9621;+1-877-217-4085;+44-207-8061328,,twitter.com/burberry,facebook.com/burberry,linkedin.com/company/burberry,,pinterest.com/burberry,,instagram.com/burberry,,,youtube.com/user/burberry,,N/A - Other - n/a@burberry.com; N/A - Sales - n/a@burberry.com; N/A - Director - n/a@burberry.com; N/A - Manager - n/a@burberry.com; N/A - President - n/a@burberry.com; N/A - Csuite - n/a@burberry.com,Greater London,UK,SW1P,GB,19/04/2022,21/02/2023,30/09/2004,01/03/2023,-,GDPR United Kingdom
carolinehirons.com,shopfloor.carolinehirons.com,$1000,$433126,500000,0,Caroline Hirons,Business And Industrial,70150,34045,154244,Outside Top 1m,ph:,info@carolinehirons.com,twitter.com/carolinehirons,facebook.com/carolinehironsofficial,,,pinterest.com/carolinehirons,,instagram.com/carolinehirons,,,,,,Birmingham,WMID,B1,GB,12/04/2021,03/02/2023,31/01/2011,16/02/2023,-,GDPR United Kingdom
